#------------------------------------
# ENERGY HISTORY
#------------------------------------
#               kin       intermol           elec            vib          rot-J          rot-L            tot     formula
#                eV             eV             eV             eV             eV             eV               
#           -------        -------       --------       --------        -------          -----        -------
 n          1.91169        0.00000    -3089.73541        1.82566        1.03620        0.07364    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.86520        0.00000    -3089.73541        1.82566        1.03620        0.12014    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.91118        0.00000    -3089.73541        1.82566        1.03620        0.07416    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 n          1.95685        0.00000    -3089.73541        1.82566        1.03620        0.02849    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          1.04727        0.00000    -3089.73541        2.73905        1.03620        0.02468    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 n          0.01061        0.00000    -3089.73541        2.73905        2.05554        0.04200    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.01571        0.00000    -3089.73541        2.73905        2.05554        0.03690    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          0.01492        0.00000    -3089.73541        2.73905        2.05554        0.03769    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00966        0.00000    -3089.73541        2.73905        2.05554        0.04296    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          0.00972        0.00000    -3089.73541        2.73905        2.05554        0.04289    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 n          0.01352        0.00000    -3089.73541        2.73905        2.05554        0.03909    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          0.01647        0.00000    -3089.73541        2.73905        2.05554        0.03614    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.01394        0.00000    -3089.73541        2.73905        2.05554        0.03867    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.01319        0.00000    -3089.73541        2.73905        2.05554        0.03943    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.00852        0.00000    -3089.73541        2.73905        2.05554        0.04409    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.01456        0.00000    -3089.73541        2.73905        2.05554        0.03806    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.01037        0.00000    -3089.73541        2.73905        2.05554        0.04224    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 n          0.00288        0.00000    -3089.73541        2.73905        2.05554        0.04973    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          0.20886        0.00000    -3089.73541        2.44906        2.05554        0.13374    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.12839        0.00000    -3089.73541        2.44906        2.05554        0.21421    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.04053        0.00000    -3089.73541        2.44906        2.05554        0.30206    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.01569        0.00000    -3089.73541        2.44906        2.05554        0.32691    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          0.06159        0.00000    -3089.73541        2.44906        2.05554        0.28101    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          0.24005        0.00000    -3089.73541        2.44906        2.05554        0.10254    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 w          1.67524        0.00000    -3089.73541        3.17175        0.00021        0.00000    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 p          1.57180        0.00000    -3089.73541        3.17175        0.09065        0.01299    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
 r          1.10445        0.00000    -3089.73541        3.71918        0.01665        0.00692    -3084.88821     2:C_1(3,0,0)+4:C_2(3,1,0)
