# Complex Numerical Function
# Thu Oct 23 16:11:28 2014
  0.2190000E+02 -0.7273753E-03  0.2247362E-10
  0.2200000E+02 -0.7294646E-03  0.2272540E-10
  0.2210000E+02 -0.7314266E-03  0.2251014E-10
  0.2220000E+02 -0.7332603E-03  0.2250811E-10
  0.2230000E+02 -0.7349651E-03  0.2268530E-10
  0.2240000E+02 -0.7365407E-03  0.2265157E-10
  0.2250000E+02 -0.7379864E-03  0.2312732E-10
  0.2260000E+02 -0.7393021E-03  0.2282503E-10
  0.2270000E+02 -0.7404875E-03  0.2320565E-10
  0.2280000E+02 -0.7415423E-03  0.2271106E-10
  0.2290000E+02 -0.7424663E-03  0.2313547E-10
  0.2300000E+02 -0.7432595E-03  0.2293132E-10
  0.2310000E+02 -0.7439215E-03  0.2342234E-10
  0.2320000E+02 -0.7444524E-03  0.2341129E-10
  0.2330000E+02 -0.7448520E-03  0.2350241E-10
  0.2340000E+02 -0.7451202E-03  0.2348741E-10
  0.2350000E+02 -0.7452571E-03  0.2328010E-10
  0.2360000E+02 -0.7452624E-03  0.2363615E-10
  0.2370000E+02 -0.7451360E-03  0.2352835E-10
  0.2380000E+02 -0.7448776E-03  0.2415240E-10
  0.2390000E+02 -0.7444867E-03  0.2387427E-10
  0.2400000E+02 -0.7439628E-03  0.2420708E-10
  0.2410000E+02 -0.7433051E-03  0.2380229E-10
  0.2420000E+02 -0.7425130E-03  0.2406267E-10
  0.2430000E+02 -0.7415854E-03  0.2415979E-10
  0.2440000E+02 -0.7405212E-03  0.2446816E-10
  0.2450000E+02 -0.7393193E-03  0.2480290E-10
  0.2460000E+02 -0.7379783E-03  0.2455977E-10
  0.2470000E+02 -0.7364969E-03  0.2473217E-10
  0.2480000E+02 -0.7348734E-03  0.2435105E-10
  0.2490000E+02 -0.7331063E-03  0.2490054E-10
  0.2500000E+02 -0.7311935E-03  0.2514827E-10
  0.2510000E+02 -0.7291332E-03  0.2545516E-10
  0.2520000E+02 -0.7269232E-03  0.2566019E-10
  0.2530000E+02 -0.7245611E-03  0.2456549E-10
  0.2540000E+02 -0.7220443E-03  0.2555040E-10
  0.2550000E+02 -0.7193703E-03  0.2479941E-10
  0.2560000E+02 -0.7165363E-03  0.2801516E-10
  0.2570000E+02 -0.7135395E-03  0.2547642E-10
  0.2580000E+02 -0.7103770E-03  0.2466807E-10
  0.2590000E+02 -0.7070459E-03  0.2478113E-10
  0.2600000E+02 -0.7035433E-03  0.2989647E-10
  0.2610000E+02 -0.6998663E-03  0.2495831E-10
  0.2620000E+02 -0.6960121E-03  0.2643078E-10
  0.2630000E+02 -0.6919776E-03  0.2692652E-10
  0.2640000E+02 -0.6877601E-03  0.2590889E-10
  0.2650000E+02 -0.6833566E-03  0.2735046E-10
  0.2660000E+02 -0.6787645E-03  0.2818642E-10
  0.2670000E+02 -0.6739808E-03  0.2725687E-10
  0.2680000E+02 -0.6690029E-03  0.2755159E-10
  0.2690000E+02 -0.6638284E-03  0.2676172E-10
  0.2700000E+02 -0.6584546E-03  0.2780782E-10
  0.2710000E+02 -0.6528793E-03  0.2782419E-10
  0.2720000E+02 -0.6471004E-03  0.2887248E-10
  0.2730000E+02 -0.6411159E-03  0.2853250E-10
  0.2740000E+02 -0.6349241E-03  0.2838228E-10
  0.2750000E+02 -0.6285231E-03  0.2825400E-10
  0.2760000E+02 -0.6219116E-03  0.2818449E-10
  0.2770000E+02 -0.6150882E-03  0.2933228E-10
  0.2780000E+02 -0.6080516E-03  0.2954511E-10
  0.2790000E+02 -0.6008008E-03  0.3045142E-10
  0.2800000E+02 -0.5933347E-03  0.2920943E-10
  0.2810000E+02 -0.5856525E-03  0.2926377E-10
  0.2820000E+02 -0.5777536E-03  0.2861584E-10
  0.2830000E+02 -0.5696373E-03  0.3039142E-10
  0.2840000E+02 -0.5613034E-03  0.3180399E-10
  0.2850000E+02 -0.5527514E-03  0.3216430E-10
  0.2860000E+02 -0.5439814E-03  0.3028362E-10
  0.2870000E+02 -0.5349932E-03  0.2723255E-10
  0.2880000E+02 -0.5257871E-03  0.3114326E-10
  0.2890000E+02 -0.5163633E-03  0.3442426E-10
  0.2900000E+02 -0.5067218E-03  0.3388321E-10
  0.2910000E+02 -0.4968631E-03  0.2793230E-10
  0.2920000E+02 -0.4867873E-03  0.3370209E-10
  0.2930000E+02 -0.4764949E-03  0.2938411E-10
  0.2940000E+02 -0.4659860E-03  0.3487893E-10
  0.2950000E+02 -0.4552611E-03  0.3252728E-10
  0.2960000E+02 -0.4443204E-03  0.3368826E-10
  0.2970000E+02 -0.4331641E-03  0.3345506E-10
  0.2980000E+02 -0.4217926E-03  0.3203611E-10
  0.2990000E+02 -0.4102061E-03  0.3362965E-10
  0.3000000E+02 -0.3984048E-03  0.3330131E-10
  0.3010000E+02 -0.3863887E-03  0.3532893E-10
  0.3020000E+02 -0.3741580E-03  0.3462137E-10
  0.3030000E+02 -0.3617125E-03  0.3523329E-10
  0.3040000E+02 -0.3490521E-03  0.3430318E-10
  0.3050000E+02 -0.3361765E-03  0.3459205E-10
  0.3060000E+02 -0.3230853E-03  0.3495100E-10
  0.3070000E+02 -0.3097779E-03  0.3581474E-10
  0.3080000E+02 -0.2962538E-03  0.3674493E-10
  0.3090000E+02 -0.2825122E-03  0.3678430E-10
  0.3100000E+02 -0.2685524E-03  0.3676240E-10
  0.3110000E+02 -0.2543737E-03  0.3588230E-10
  0.3120000E+02 -0.2399750E-03  0.3600303E-10
  0.3130000E+02 -0.2253554E-03  0.3656673E-10
  0.3140000E+02 -0.2105139E-03  0.3853012E-10
  0.3150000E+02 -0.1954495E-03  0.3999651E-10
  0.3160000E+02 -0.1801610E-03  0.3918043E-10
  0.3170000E+02 -0.1646473E-03  0.3588477E-10
  0.3180000E+02 -0.1489070E-03  0.3528254E-10
  0.3190000E+02 -0.1329391E-03  0.4142892E-10
  0.3200000E+02 -0.1167421E-03  0.4285115E-10
  0.3210000E+02 -0.1003150E-03  0.3678636E-10
  0.3220000E+02 -0.8365644E-04  0.4104033E-10
  0.3230000E+02 -0.6676531E-04  0.3972673E-10
  0.3240000E+02 -0.4964052E-04  0.3852761E-10
  0.3250000E+02 -0.3228105E-04  0.4294799E-10
  0.3260000E+02 -0.1468598E-04  0.3958663E-10
  0.3270000E+02  0.3145547E-05  0.4336204E-10
  0.3280000E+02  0.2121428E-04  0.4226080E-10
  0.3290000E+02  0.3952087E-04  0.3958098E-10
  0.3300000E+02  0.5806588E-04  0.4494077E-10
  0.3310000E+02  0.7684975E-04  0.4001715E-10
  0.3320000E+02  0.9587282E-04  0.4478564E-10
  0.3330000E+02  0.1151353E-03  0.4233875E-10
  0.3340000E+02  0.1346372E-03  0.4505575E-10
  0.3350000E+02  0.1543784E-03  0.4377082E-10
  0.3360000E+02  0.1743586E-03  0.4411025E-10
  0.3370000E+02  0.1945774E-03  0.4454367E-10
  0.3380000E+02  0.2150343E-03  0.4445491E-10
  0.3390000E+02  0.2357283E-03  0.4617871E-10
  0.3400000E+02  0.2566586E-03  0.4577359E-10
  0.3410000E+02  0.2778242E-03  0.4691952E-10
  0.3420000E+02  0.2992237E-03  0.4613073E-10
  0.3430000E+02  0.3208559E-03  0.4654975E-10
  0.3440000E+02  0.3427194E-03  0.4681712E-10
  0.3450000E+02  0.3648125E-03  0.4738727E-10
  0.3460000E+02  0.3871336E-03  0.4856759E-10
  0.3470000E+02  0.4096809E-03  0.4829993E-10
  0.3480000E+02  0.4324526E-03  0.4947024E-10
  0.3490000E+02  0.4554467E-03  0.4832660E-10
  0.3500000E+02  0.4786610E-03  0.4945633E-10
  0.3510000E+02  0.5020936E-03  0.4910348E-10
  0.3520000E+02  0.5257421E-03  0.5057616E-10
  0.3530000E+02  0.5496044E-03  0.5079447E-10
  0.3540000E+02  0.5736782E-03  0.5138079E-10
  0.3550000E+02  0.5979613E-03  0.5159931E-10
  0.3560000E+02  0.6224512E-03  0.5114858E-10
  0.3570000E+02  0.6471459E-03  0.5213288E-10
  0.3580000E+02  0.6720430E-03  0.5184311E-10
  0.3590000E+02  0.6971404E-03  0.5369582E-10
  0.3600000E+02  0.7224358E-03  0.5320355E-10
  0.3610000E+02  0.7479270E-03  0.5458088E-10
  0.3620000E+02  0.7736120E-03  0.5366212E-10
  0.3630000E+02  0.7994885E-03  0.5451125E-10
  0.3640000E+02  0.8255546E-03  0.5445521E-10
  0.3650000E+02  0.8518082E-03  0.5533049E-10
  0.3660000E+02  0.8782474E-03  0.5628495E-10
  0.3670000E+02  0.9048702E-03  0.5630319E-10
  0.3680000E+02  0.9316748E-03  0.5730944E-10
  0.3690000E+02  0.9586593E-03  0.5633184E-10
  0.3700000E+02  0.9858221E-03  0.5773677E-10
  0.3710000E+02  0.1013162E-02  0.5705138E-10
  0.3720000E+02  0.1040676E-02  0.5901804E-10
  0.3730000E+02  0.1068364E-02  0.5869042E-10
  0.3740000E+02  0.1096223E-02  0.5992250E-10
  0.3750000E+02  0.1124253E-02  0.5956782E-10
  0.3760000E+02  0.1152452E-02  0.5983712E-10
  0.3770000E+02  0.1180818E-02  0.6040730E-10
  0.3780000E+02  0.1209350E-02  0.6050190E-10
  0.3790000E+02  0.1238046E-02  0.6216975E-10
  0.3800000E+02  0.1266905E-02  0.6167922E-10
  0.3810000E+02  0.1295926E-02  0.6328485E-10
  0.3820000E+02  0.1325105E-02  0.6209688E-10
  0.3830000E+02  0.1354443E-02  0.6357430E-10
  0.3840000E+02  0.1383937E-02  0.6295659E-10
  0.3850000E+02  0.1413586E-02  0.6454506E-10
  0.3860000E+02  0.1443388E-02  0.6477320E-10
  0.3870000E+02  0.1473340E-02  0.6547060E-10
  0.3880000E+02  0.1503442E-02  0.6596007E-10
  0.3890000E+02  0.1533690E-02  0.6554398E-10
  0.3900000E+02  0.1564084E-02  0.6676995E-10
  0.3910000E+02  0.1594619E-02  0.6622100E-10
  0.3920000E+02  0.1625295E-02  0.6827819E-10
  0.3930000E+02  0.1656108E-02  0.6764229E-10
  0.3940000E+02  0.1687056E-02  0.6935921E-10
  0.3950000E+02  0.1718137E-02  0.6851743E-10
  0.3960000E+02  0.1749346E-02  0.6957436E-10
  0.3970000E+02  0.1780681E-02  0.6951815E-10
  0.3980000E+02  0.1812140E-02  0.7030400E-10
  0.3990000E+02  0.1843718E-02  0.7132250E-10
  0.4000000E+02  0.1875412E-02  0.7133505E-10
  0.4010000E+02  0.1907220E-02  0.7265136E-10
  0.4020000E+02  0.1939136E-02  0.7177396E-10
  0.4030000E+02  0.1971157E-02  0.7334783E-10
  0.4040000E+02  0.2003281E-02  0.7259557E-10
  0.4050000E+02  0.2035501E-02  0.7448174E-10
  0.4060000E+02  0.2067815E-02  0.7421598E-10
  0.4070000E+02  0.2100218E-02  0.7551059E-10
  0.4080000E+02  0.2132706E-02  0.7549186E-10
  0.4090000E+02  0.2165274E-02  0.7583323E-10
  0.4100000E+02  0.2197919E-02  0.7652643E-10
  0.4110000E+02  0.2230635E-02  0.7649133E-10
  0.4120000E+02  0.2263419E-02  0.7807239E-10
  0.4130000E+02  0.2296265E-02  0.7772777E-10
  0.4140000E+02  0.2329170E-02  0.7937904E-10
  0.4150000E+02  0.2362128E-02  0.7867008E-10
  0.4160000E+02  0.2395135E-02  0.7998086E-10
  0.4170000E+02  0.2428186E-02  0.7965870E-10
  0.4180000E+02  0.2461277E-02  0.8078783E-10
  0.4190000E+02  0.2494403E-02  0.8128410E-10
  0.4200000E+02  0.2527560E-02  0.8186454E-10
  0.4210000E+02  0.2560742E-02  0.8274693E-10
  0.4220000E+02  0.2593946E-02  0.8254493E-10
  0.4230000E+02  0.2627167E-02  0.8368918E-10
  0.4240000E+02  0.2660400E-02  0.8334902E-10
  0.4250000E+02  0.2693641E-02  0.8481925E-10
  0.4260000E+02  0.2726886E-02  0.8477759E-10
  0.4270000E+02  0.2760131E-02  0.8599534E-10
  0.4280000E+02  0.2793370E-02  0.8614840E-10
  0.4290000E+02  0.2826600E-02  0.8668966E-10
  0.4300000E+02  0.2859817E-02  0.8725059E-10
  0.4310000E+02  0.2893016E-02  0.8743038E-10
  0.4320000E+02  0.2926193E-02  0.8858927E-10
  0.4330000E+02  0.2959344E-02  0.8864005E-10
  0.4340000E+02  0.2992465E-02  0.8992428E-10
  0.4350000E+02  0.3025552E-02  0.8985278E-10
  0.4360000E+02  0.3058601E-02  0.9079801E-10
  0.4370000E+02  0.3091608E-02  0.9096610E-10
  0.4380000E+02  0.3124568E-02  0.9158111E-10
  0.4390000E+02  0.3157479E-02  0.9235343E-10
  0.4400000E+02  0.3190335E-02  0.9264307E-10
  0.4410000E+02  0.3223133E-02  0.9383101E-10
  0.4420000E+02  0.3255868E-02  0.9373657E-10
  0.4430000E+02  0.3288537E-02  0.9493958E-10
  0.4440000E+02  0.3321135E-02  0.9477206E-10
  0.4450000E+02  0.3353659E-02  0.9579987E-10
  0.4460000E+02  0.3386103E-02  0.9609674E-10
